Index,Commit URL,Type Name,Description,Memo,Agreement,Annotator Name,File Path,Start Line (Before),End Line (Before),Start Line (After),End Line (After)
56861c03-0f94-49b4-91aa-9ccc0310579f,https://github.com/rstudio/rstudio/commit/cb49e436b9d7ee55f2531ebc2ef1863f5c9ba9fe,Non-Refactoring,,,,Mont9165,,,,,
5615a9b4-e027-49d6-8587-29f91b68e0d6,https://github.com/C2SP/wycheproof/commit/ca5fdffb1ab659adbe474ff45b47cad6ed4aec11,Non-Refactoring,,,,niyaton,,,,,
6f805003-29cc-470e-a3be-551ae2244ead,https://github.com/agrestio/agrest/commit/48be2e3a3be51123a67aa8b39ad656a301fa7f1f,Any Refactoring,"これDiffがぐちゃぐちゃ過ぎて（タブをスペースに変えてるのが原因）分割がそもそもまともにできない．Afterの23行目のsetUp関数はImplicit Setupに該当するような気がするが．Before部分がないのでリファクタリングかどうか自信がない．
後は，class Xやclass Yの作成がMock Objectまたはライブラリの適用の逆のリファクタリング（ライブラリの非適用）リファクタリングに該当すると思います．",,,niyaton,,,,,
7d9acace-0ef0-4e2d-b46e-272422e173bf,https://github.com/liferay/liferay-blade-cli/commit/36f1e3b1f75dfae3e3d5a7554872d2a8fa5e32b6,Non-Refactoring,もともとあったのを再利用できるように修正？,,,Yutaro-Kashiwa,,,,,
7d9acace-0ef0-4e2d-b46e-272422e173bf,https://github.com/liferay/liferay-blade-cli/commit/36f1e3b1f75dfae3e3d5a7554872d2a8fa5e32b6,Any Refactoring,Delegated Setup(Creation method)とfinder methodの統合？，他にもさまざまありそう,,,Mont9165,,,,,
00dbb857-0bc2-4165-ae14-2b7c9b8eac1b,https://github.com/jdbi/jdbi/commit/ddfe1c0e7b00de18deae1731144df01b13597ffd,Any Refactoring,Spring4に変更？,,,Yutaro-Kashiwa,,,,,
00dbb857-0bc2-4165-ae14-2b7c9b8eac1b,https://github.com/jdbi/jdbi/commit/ddfe1c0e7b00de18deae1731144df01b13597ffd,Any Refactoring,spring4のバージョンアップによる変更,,,Mont9165,,,,,
9a506bf5-b455-4633-9ee7-dc9b1f586fbe,https://github.com/camunda/camunda/commit/bcac3afd956efe5e425fd87b4ae63cd64ea4d0b7,Non-Refactoring,,,,Yutaro-Kashiwa,,,,,
9a506bf5-b455-4633-9ee7-dc9b1f586fbe,https://github.com/camunda/camunda/commit/bcac3afd956efe5e425fd87b4ae63cd64ea4d0b7,Non-Refactoring,Move Methodなので無視？テストケースをシンプルにしている,,,Mont9165,,,,,
5a91a009-351d-4e22-9776-bb0bda7e8a52,https://github.com/dreamhead/moco/commit/15285f6465b0aad791fc28dde9e6f3614cbd8818,Any Refactoring,ExtractMethodをやめるのは何かのテストリファクタリングか？,,,Yutaro-Kashiwa,,,,,
5a91a009-351d-4e22-9776-bb0bda7e8a52,https://github.com/dreamhead/moco/commit/15285f6465b0aad791fc28dde9e6f3614cbd8818,Delegated Setup,,,,Mont9165,,,,,
5a91a009-351d-4e22-9776-bb0bda7e8a52,https://github.com/dreamhead/moco/commit/15285f6465b0aad791fc28dde9e6f3614cbd8818,Non-Refactoring,Custom Assertionを消している．,,,Mont9165,,,,,
e96ae133-76bf-4c56-a7bf-64441b739e93,https://github.com/hapifhir/hapi-hl7v2/commit/42db129f4354c441ab257ebdb142f1ab0a382497,Any Refactoring,"作業すると何故か重すぎる・・・MessageTypeRouterTest.javaは単にJUnitのバージョンを上げているだけ．
MCFとVCはShared Fixtureとして抽出されている．

buildSpecsを使ってる部分はParameterized Test",,,niyaton,,,,,
4a45363c-0028-4019-8317-9a275ba14e59,https://github.com/DataDog/java-dogstatsd-client/commit/dd154c51cec1bba55e2e051cb7e65999e9925b58,Non-Refactoring,,,,Yutaro-Kashiwa,,,,,
4a45363c-0028-4019-8317-9a275ba14e59,https://github.com/DataDog/java-dogstatsd-client/commit/dd154c51cec1bba55e2e051cb7e65999e9925b58,Delegated Setup,クラスを作って，その中に処理ごとのメソッドを作成,,,Mont9165,,,,,
647ead32-bdf2-41de-84a7-734cb8013d0e,https://github.com/confluence-publisher/confluence-publisher/commit/5a17d36af1459cae18bc582acd86711a782a7799,Non-Refactoring,,,,Yutaro-Kashiwa,,,,,
